Entry_name,GH,DMY_H1_kgperha,PH_H2,DMY_H2_kgperha,PH_H3,DMY_H3_kgperha
G326,5.25,1363.97,13.76,4564.35,23.87,4233.74
G327,4.75,1697.59,15.51,4201.49,33.37,4262.45
G328,5,2239.56,12.51,652.49,NA,509.38
G329,4,607.72,15.01,3782.61,23.12,1377.38
G330,6,2529.7,13.26,3512.34,22.12,1966.69
G331,5.75,1078.29,12.51,2984.45,25.37,580.1
G332,6.25,1106.09,18.01,4445.41,27.12,2497.57
G333,4.5,2334.49,14.01,2273.52,27.12,1731.56
G334,5.75,589.71,13.26,2581.68,19.62,1497.82
G335,5.5,NA,12.51,4064.8,18.87,1091.58
G336,6,820.95,12.26,1496.86,27.12,4872.5
G337,4,762.48,14.26,2272.88,20.12,510.26
G338,4.5,NA,16.01,4262.19,24.12,1195.12
G339,6,1054.41,14.01,1129.7,25.87,1862.16
G340,6.5,1329.03,13.01,3312.55,32.37,4474.98
G341,5,2596.57,14.76,NA,26.62,1909.58
G342,4,2147.35,12.26,3722.36,28.87,2064.78
G343,4.25,781.21,13.01,3442.71,19.12,1019.9
G344,4.5,614.3,13.76,4424.43,28.37,2474.51
G345,6.5,942.48,11.51,2157.61,21.87,1219.56
G346,5,1826.6,15.01,NA,18.12,916.82
G347,6,979.67,14.01,1872.76,28.12,1976.85
G348,5.75,1219.59,11.51,4720.77,28.37,2677.11
G349,3.5,NA,11.51,3198.37,19.87,711.05
G350,3,2296.37,16.26,2922.96,25.12,3517.03
G351,5.25,776.64,10.26,2326.18,24.37,5003.72
G352,2.75,339.24,14.01,3028.47,21.62,2730.34
G353,6,819.38,15.01,3743.83,26.12,2225.84
G354,3,1595.19,16.76,5231.74,22.12,3186.12
G355,4,971.58,16.51,4704.59,24.87,NA
G356,5,1247.29,10.26,4102.22,14.87,819.84
G357,4.75,1438.89,16.01,3872,18.63,2603
G358,3,1608.27,15.51,3779.21,21.87,1297.76
G359,6.5,NA,12.01,2889.24,20.37,2079.84
G360,5.25,567.95,11.01,1563.21,18.13,NA
G361,4,NA,17.26,4128.49,27.12,3372.26
G362,6,210.87,13.51,1333.52,29.87,2092.93
G363,4.75,1025.51,15.26,4275.56,24.62,1084.47
G364,6,797.15,15.26,4950.81,18.87,NA
G365,5,402.33,8.26,1589.65,19.87,937.7
G366,6,218.01,12.76,2008.74,25.12,2525.24
G367,3.75,2061.41,14.51,4055.12,27.37,4103.35
G368,4.25,464.7,12.76,3049.21,22.87,1479.73
G369,5,NA,14.51,1574.54,20.87,NA
G370,4.5,NA,15.76,3706.59,28.37,NA
G371,5,2083.76,13.76,3746.54,29.62,3404.52
G372,5,1493.71,12.76,2714.35,25.62,1225.59
G373,5,1662.57,15.76,4222.6,27.62,3156.19
G374,4.75,1018.23,16.26,4806.55,18.62,NA
G375,4.75,1796.31,16.51,NA,25.37,3475.24
G376,4,2207.19,14.01,2980.76,29.87,NA
G377,3.5,997.75,17.01,3075.4,30.12,4025.07
G378,4.5,1325.28,13.01,2759.23,20.37,493.48
G379,5,2423.58,14.76,4872.87,27.12,1586.51
G380,5.75,1417.84,16.01,4814.44,30.62,NA
G381,6,1064.68,12.26,5779.53,25.87,4069.05
G382,5,2812.68,15.01,3444.5,35.12,NA
G383,6,NA,13.26,1900.97,28.12,2550.86
G384,4.75,1412.35,13.01,4376.72,20.62,2016.75
G385,6.75,1478.03,11.51,3267.51,29.37,1291.87
G386,7.25,675.9,11.76,4549.16,20.87,2393.15
G387,5.75,143.58,9.01,1354.75,22.62,1310.67
G388,4.25,1174.93,16.26,4025.22,26.37,3265.53
G389,6.5,394.48,10.76,1514.44,24.37,2600.92
G390,5.5,1513.47,12.01,4289.51,23.37,1966.9
G391,4.75,1003.18,19.26,NA,25.62,2300.14
G392,6.5,695.61,12.76,3247.61,24.37,1727.52
G393,6.5,NA,12.01,2728.99,23.37,1089.6
G394,6,2579.2,13.01,3921.3,23.87,2372.76
G395,6.5,NA,15.76,3360.15,27.37,4444.53
G396,4,655.93,18.51,NA,24.87,888.81
G397,5,2347.36,16.76,4138.03,26.62,879.67
G398,5.25,151.23,13.76,2845.33,24.87,NA
G399,6,1206.62,14.76,3722.06,18.12,1526.03
G400,6.75,541.43,14.26,2382.53,21.62,1870.58
G401,7,553.3,17.01,NA,20.12,3497.1
G402,3,1267.43,14.01,2857.61,20.87,1753.74
G403,5,1474.39,13.76,3421.37,23.12,2079.83
G404,2.5,1398.6,15.01,3449.07,29.12,3881.67
G405,4,1276.06,13.76,2448.11,28.62,NA
G406,5,NA,11.76,1504.17,24.62,945.44
G407,4.5,1029.42,16.51,NA,25.87,3903.65
G408,4.5,1150.71,15.01,2743.7,30.12,3508.23
G409,4,1930.4,12.51,2713.21,21.87,NA
