Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G173,4.56,55.42,5.94,1801.71,40.04,6.17,1763.97,49.28,5.63,2386.85
G174,5.59,54.36,6.51,1653.23,35.13,5.34,1372.23,48.88,4.23,2359.32
G175,4.49,59.52,6.49,2435.2,45.45,6.22,1743.64,54.12,6.6,2958.59
G176,5.02,51.08,7.48,2421.79,43.28,6.25,2407.73,43.81,3.08,1519.62
G177,5.56,56.9,7.97,2450.36,31,6.47,1223.12,42.81,5.9,1717.75
G178,3.83,60.61,7.52,2687.62,33.71,5.85,1238.15,45.86,5.06,2255.7
G179,4.04,64.75,7.02,3158.43,36.86,5.44,1930.66,39.3,5.54,1635.69
G180,3.04,65.55,6.92,2711.68,37.1,4.96,1674.98,52.14,4.26,2343.89
G181,3.45,70.99,7.49,2835.09,34.36,5.11,1554.97,44.27,5.24,1988.91
G182,6.11,54.36,6.44,2280.89,38.54,6.58,2009.21,53.92,6.73,3296.35
G183,3.56,63.24,7.02,2316.51,37.54,6,1447.13,47.72,3.55,1180.36
G184,4.87,51.96,6.09,846.23,38.16,6.83,1219.45,53.64,4.98,1844.41
G185,5.13,56.87,6.93,1438.07,34.85,6.86,2131.1,47.81,4.94,3263.96
G186,4.95,54.46,7.04,2036.08,39.52,6.88,1863.69,51.53,6.42,2654.15
G187,7.6,50.68,9.16,2879.76,39.17,8.36,2320.14,50.27,6.91,2332.42
G188,6.12,46.16,7.43,1887.78,37.84,6.75,1899.95,40.61,5.32,1996.79
G189,4.91,45.97,7.08,1328.38,37.45,8.11,2003.44,62.08,6.77,3802.49
G190,3.56,60.73,7.55,2845.07,40.56,5.13,1480.52,44.17,4.15,1915.72
G191,5.73,37.37,5.91,2483.77,34.33,5.65,1211.89,65.76,4.89,2247.41
G192,6.04,45.08,6.53,2543.05,36.15,5.38,1567.8,48.93,5.34,2449.58
G193,6.07,48.61,7.62,2368.33,41.72,6.82,1940.49,47.98,6,2828.21
